;;abdecken ;;pokriti, obuhvatiti, uključivati;;;
;der;Abend;;večer;Ich war gestern Abend nicht zu Hause.;evening;
;das;Abendessen;;večera;Sie hat mich zum Abendessen eingeladen.;dinner;
;;abends;;navečer;Was machst du abends?;in the evening;
;;abfeuern ;;okinuti, opaliti;;;
;der;Abflug;"<-(e)s; Abflüge>";polijetanje;;;
;der;Abflugtag;"<-(e)s; -e>";dan polijetanja;;;
;;abholen;;doći po nekoga / pokupiti nekoga;;;
;der;Ablauf;"<-(e)s; Abläufe>";istek, hod, tok, tijek;;;
;;abschließen;;završiti, zaključati, svršiti, okončati;;;
;die;Absicht;;namjera;;;
;;abstimmen;;glasati, glasovati, uskladiti, koordinirati;Wenn ich morgens aufstehe, stimme ich meine Klammoten mit meiner Stimmung ab.;to go with;When I wake up in the morning, my clothes have to go with my mood.
;die;Abteilung;"<Abteilung; -en>";odjel, odsjek, sekcija, odred;In welcher Abteilung arbeiten Sie?;;
;die;Adaptierung;"<Adaptierung; Adaptierungen>";adaptacija, prilagodba;;;
;das;Adjektiv;-s -e;pridjev;In der deutschen Sprache ist der Adjektiv nicht schwer.;adjective;In the German language the adjective is not very hard to learn.
;die;Adresse;;adresa;Hast du shon mene neue Addrese? Ich glaube, dass das ihre Addrese ist.;address;
;die;Agentur;"<Agentur; -en>";agencija, agentura, predstavništvo;;;
;;ähnlich;;sličan;;;
;die;Aktivität;"<Aktivität; -en>";aktivnost;;;
;;akzeptieren;;prihvatiti;;;
;der;Albtraum;;noćna mora;;;
;;alle;;svi;;;
;;allein;;sam;Ich arbeite gern allein. Mit wem arbeitest du gern? Bist du hier allein?;alone;
;;allerdings;;svakako, i onako;;;
;;alles ;;sve;;;
;;also;;dakle;;;
;;alt;;star;Wie alt ist unserer Lehrer?;old;
;;am besten;;najbolje;;;
;;am liebsten;;omiljen;;;
;die;Ameise;Ameise -n;mrav;Im film Bug’s Life geht es um Ameisen.;ant;The movie ‘A bug’s life’ is about ants.
;die;Ampel;;semafor;;;
;;anbieten ;;ponuditi, pružiti;Er hat mich seine Hilfe angeboten.;;
;;andere;;drugi;;;
;;andererseits ;;s druge strane, u drugu ruku;;;
;;anderswo;;negdje drugdje;;;
;der;Anfang;"<-(e)s; Anfänge>";početak;Das war ein schlechter Anfang.;beginning;
;;anfangen;;početi;Wann fängst du mit der Arbeit an?;to begin/to start;
;der;Anfänger;;početnik;;;
;die;Anforderung;"<Anforderung; -en>";zahtjev;;;
;die;Anfrage;"<Anfrage; -n>";upit;;;
;das;Angebot;"<Angebot(e)s; Angebote>";ponuda;;;
;;angebracht ;;prikladan, uputan;;;
;die;Angelegenheit;"<Angelegenheit; -en>";posao, materija, stvar;;;
;;angenehm ;;ugodan, prijatan;;;
;die;Angestellte;"<-n; -n>";službenica, namještenica;;;
;die;Angst;"<Angst; Ängste>";strah;Sie hat Angst vor Schlangen? Ich habe vor nichst Angst.;fear;
;;ankommen;;stići;Wir sind gestern angekommen.;arrive;
;die;Anleitung;"<Anleitung; -en>";uputa;;;
;;anprobieren;;isprobati;Wenn ich etwas anprobiere dann muss es richtig passen.;to try on;When I try something on, it really has to fit.
;der;Anrainer;<Anrainer, pl>;susjedi;;;
;die;Anrechnung;"<Anrechnung; kein pl>";priznavanje;;;
;;anrufen ;;nazvati, pozvati, prizvati;;;
;;anschauen;;pogledati;;;
;;anschreiben;;obratiti se pisanim putem;;;
;das;Anschreiben;;popratno pismo;;;
;;ansehen;;pogledati;;;
;;anstrengend;;naporno;;;
;das;Antibiotikum;-s -ka;antibiotik;Wenn ich für eine längere Zeit krank bin, dann nehme ich Antibiotikum.;antibiotic;When I am feeling sick for a long time I take antibiotics.
;die;Antwort;;odgovor;Hast du shon eine Antwort bekommen?;answer;
;;antworten;;odgovoriti;Warum antwortet er nicht? Er hat geantwortet aber ich habe ihn nicht verstanden.;answer;
;der;Anwalt;;odvjetnik;Möchtest du mit meinem Anwalt spazieren gehen?;;
